      1 GO:0000019	regulation of mitotic recombination
      2 GO:0061987	negative regulation of transcription from RNA polymerase II promoter by glucose
      2 GO:0062023	collagen-containing extracellular matrix
      2 GO:0070034	telomerase RNA binding
      2 GO:0070050	neuron cellular homeostasis
      2 GO:0070062	extracellular exosome
      2 GO:0070180	large ribosomal subunit rRNA binding
      2 GO:0070181	small ribosomal subunit rRNA binding
      2 GO:0070192	chromosome organization involved in meiotic cell cycle
      2 GO:0070273	phosphatidylinositol-4-phosphate binding
      2 GO:0070300	phosphatidic acid binding
      2 GO:0070306	lens fiber cell differentiation
      2 GO:0070328	triglyceride homeostasis
      2 GO:0070403	NAD+ binding
      2 GO:0070461	SAGA-type complex
      2 GO:0070475	rRNA base methylation
      2 GO:0070566	adenylyltransferase activity
      2 GO:0070603	SWI/SNF superfamily-type complex
      2 GO:0070633	transepithelial transport
      2 GO:0070663	regulation of leukocyte proliferation
      2 GO:0070665	positive regulation of leukocyte proliferation
      2 GO:0070682	proteasome regulatory particle assembly
      2 GO:0070791	cleistothecium development
      2 GO:0070827	chromatin maintenance
      2 GO:0070843	misfolded protein transport
      2 GO:0070851	growth factor receptor binding
      2 GO:0070868	heterochromatin organization involved in chromatin silencing
      2 GO:0070893	transposon integration
      2 GO:0070900	mitochondrial tRNA modification
      2 GO:0070914	UV-damage excision repair
      2 GO:0070922	small RNA loading onto RISC
      2 GO:0070933	histone H4 deacetylation
      2 GO:0070940	dephosphorylation of RNA polymerase II C-terminal domain
      2 GO:0070987	error-free translesion synthesis
      2 GO:0070988	demethylation
      2 GO:0070992	translation initiation complex
      2 GO:0071012	catalytic step 1 spliceosome
      2 GO:0071044	histone mRNA catabolic process
      2 GO:0071071	regulation of phospholipid biosynthetic process
      2 GO:0071108	protein K48-linked deubiquitination
      2 GO:0071215	cellular response to abscisic acid stimulus
      2 GO:0071219	cellular response to molecule of bacterial origin
      2 GO:0071222	cellular response to lipopolysaccharide
      2 GO:0071243	cellular response to arsenic-containing substance
      2 GO:0071256	translocon complex
      2 GO:0071260	cellular response to mechanical stimulus
      2 GO:0071261	Ssh1 translocon complex
      2 GO:0071281	cellular response to iron ion
      2 GO:0071287	cellular response to manganese ion
      2 GO:0071346	cellular response to interferon-gamma
      2 GO:0071356	cellular response to tumor necrosis factor
      2 GO:0071361	cellular response to ethanol
      2 GO:0071371	cellular response to gonadotropin stimulus
      2 GO:0071372	cellular response to follicle-stimulating hormone stimulus
      2 GO:0071395	cellular response to jasmonic acid stimulus
      2 GO:0071472	cellular response to salt stress
      2 GO:0071483	cellular response to blue light
      2 GO:0071489	cellular response to red or far red light
      2 GO:0071493	cellular response to UV-B
      2 GO:0071501	cellular response to sterol depletion
      2 GO:0071559	response to transforming growth factor beta
      2 GO:0071560	cellular response to transforming growth factor beta stimulus
      2 GO:0071577	zinc ion transmembrane transport
      2 GO:0071585	detoxification of cadmium ion
      2 GO:0071627	integral component of fungal-type vacuolar membrane
      2 GO:0071628	intrinsic component of fungal-type vacuolar membrane
      2 GO:0071629	cytoplasm protein quality control by the ubiquitin-proteasome system
      2 GO:0071731	response to nitric oxide
      2 GO:0071732	cellular response to nitric oxide
      2 GO:0071849	G1 cell cycle arrest in response to nitrogen starvation
      2 GO:0071850	mitotic cell cycle arrest
      2 GO:0071851	mitotic G1 cell cycle arrest in response to nitrogen starvation
      2 GO:0071890	bicarbonate binding
      2 GO:0071941	nitrogen cycle metabolic process
      2 GO:0071963	establishment or maintenance of cell polarity regulating cell shape
      2 GO:0071993	phytochelatin transport
      2 GO:0071994	phytochelatin transmembrane transport
      2 GO:0071995	phytochelatin import into vacuole
      2 GO:0071996	glutathione transmembrane import into vacuole
      2 GO:0072006	nephron development
      2 GO:0072091	regulation of stem cell proliferation
      2 GO:0072319	vesicle uncoating
      2 GO:0072332	intrinsic apoptotic signaling pathway by p53 class mediator
      2 GO:0072337	modified amino acid transport
      2 GO:0072350	tricarboxylic acid metabolic process
      2 GO:0072364	obsolete regulation of cellular ketone metabolic process by regulation of transcription from RNA polymerase II promoter
      2 GO:0072425	signal transduction involved in G2 DNA damage checkpoint
      2 GO:0072509	divalent inorganic cation transmembrane transporter activity
      2 GO:0072523	purine-containing compound catabolic process
      2 GO:0072583	clathrin-dependent endocytosis
      2 GO:0072595	maintenance of protein localization in organelle
      2 GO:0072698	protein localization to microtubule cytoskeleton
      2 GO:0075259	spore-bearing structure development
      2 GO:0075525	viral translational termination-reinitiation
      2 GO:0080147	root hair cell development
      2 GO:0080154	regulation of fertilization
      2 GO:0085029	extracellular matrix assembly
      2 GO:0090030	regulation of steroid hormone biosynthetic process
      2 GO:0090031	positive regulation of steroid hormone biosynthetic process
      2 GO:0090033	positive regulation of filamentous growth
      2 GO:0090043	regulation of tubulin deacetylation
      2 GO:0090074	negative regulation of protein homodimerization activity
      2 GO:0090079	translation regulator activity, nucleic acid binding
      2 GO:0090088	regulation of oligopeptide transport
      2 GO:0090089	regulation of dipeptide transport
      2 GO:0090101	negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway
      2 GO:0090130	tissue migration
      2 GO:0090132	epithelium migration
      2 GO:0090160	Golgi to lysosome transport
      2 GO:0090200	positive regulation of release of cytochrome c from mitochondria
      2 GO:0090201	negative regulation of release of cytochrome c from mitochondria
      2 GO:0090205	positive regulation of cholesterol metabolic process
      2 GO:0090231	regulation of spindle checkpoint
      2 GO:0090233	negative regulation of spindle checkpoint
      2 GO:0090239	regulation of histone H4 acetylation
      2 GO:0090266	regulation of mitotic cell cycle spindle assembly checkpoint
      2 GO:0090288	negative regulation of cellular response to growth factor stimulus
      2 GO:0090311	regulation of protein deacetylation
      2 GO:0090421	embryonic meristem initiation
      2 GO:0090480	purine nucleotide-sugar transmembrane transport
      2 GO:0090598	male anatomical structure morphogenesis
      2 GO:0090626	plant epidermis morphogenesis
      2 GO:0090646	mitochondrial tRNA processing
      2 GO:0090696	post-embryonic plant organ development
      2 GO:0090697	post-embryonic plant organ morphogenesis
      2 GO:0097009	energy homeostasis
      2 GO:0097027	ubiquitin-protein transferase activator activity
      2 GO:0097038	perinuclear endoplasmic reticulum
      2 GO:0097191	extrinsic apoptotic signaling pathway
      2 GO:0097194	execution phase of apoptosis
      2 GO:0097366	response to bronchodilator
      2 GO:0097529	myeloid leukocyte migration
      2 GO:0097549	chromatin organization involved in negative regulation of transcription
      2 GO:0097718	disordered domain specific binding
      2 GO:0097729	9+2 motile cilium
      2 GO:0098609	cell-cell adhesion
      2 GO:0098659	inorganic cation import across plasma membrane
      2 GO:0098661	inorganic anion transmembrane transport
      2 GO:0098711	iron ion import across plasma membrane
      2 GO:0098739	import across plasma membrane
      2 GO:0098787	mRNA cleavage involved in mRNA processing
      2 GO:0098789	pre-mRNA cleavage required for polyadenylation
      2 GO:0098849	cellular detoxification of cadmium ion
      2 GO:0098876	vesicle-mediated transport to the plasma membrane
      2 GO:0099086	synaptonemal structure
      2 GO:0099518	vesicle cytoskeletal trafficking
      2 GO:0099587	inorganic ion import across plasma membrane
      2 GO:0101031	chaperone complex
      2 GO:0110020	regulation of actomyosin structure organization
      2 GO:0120033	negative regulation of plasma membrane bounded cell projection assembly
      2 GO:1900055	regulation of leaf senescence
      2 GO:1900056	negative regulation of leaf senescence
      2 GO:1900117	regulation of execution phase of apoptosis
      2 GO:1900119	positive regulation of execution phase of apoptosis
      2 GO:1900125	regulation of hyaluronan biosynthetic process
      2 GO:1900126	negative regulation of hyaluronan biosynthetic process
      2 GO:1900187	regulation of cell adhesion involved in single-species biofilm formation
      2 GO:1900189	positive regulation of cell adhesion involved in single-species biofilm formation
      2 GO:1900190	regulation of single-species biofilm formation
      2 GO:1900192	positive regulation of single-species biofilm formation
      2 GO:1900372	negative regulation of purine nucleotide biosynthetic process
      2 GO:1900408	negative regulation of cellular response to oxidative stress
      2 GO:1900430	positive regulation of filamentous growth of a population of unicellular organisms
      2 GO:1900434	regulation of filamentous growth of a population of unicellular organisms in response to starvation
      2 GO:1900436	positive regulation of filamentous growth of a population of unicellular organisms in response to starvation
      2 GO:1900490	positive regulation of hydroxymethylglutaryl-CoA reductase (NADPH) activity
      2 GO:1900739	regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway
      2 GO:1900740	positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway
      2 GO:1900864	mitochondrial RNA modification
      2 GO:1901028	regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway
      2 GO:1901030	positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway
      2 GO:1901071	glucosamine-containing compound metabolic process
      2 GO:1901073	glucosamine-containing compound biosynthetic process
      2 GO:1901185	negative regulation of ERBB signaling pathway
      2 GO:1901419	regulation of response to alcohol
      2 GO:1901475	pyruvate transmembrane transport
      2 GO:1901535	regulation of DNA demethylation
      2 GO:1901537	positive regulation of DNA demethylation
      2 GO:1901567	fatty acid derivative binding
      2 GO:1901659	glycosyl compound biosynthetic process
      2 GO:1901798	positive regulation of signal transduction by p53 class mediator
      2 GO:1901861	regulation of muscle tissue development
      2 GO:1901888	regulation of cell junction assembly
      2 GO:1901889	negative regulation of cell junction assembly
      2 GO:1901976	regulation of cell cycle checkpoint
      2 GO:1901977	negative regulation of cell cycle checkpoint
